epoch,accuracy,loss,val_accuracy,val_loss
0,0.37088292837142944,1.3278862237930298,0.5129683017730713,1.2648440599441528
1,0.6529200077056885,0.9816509485244751,0.6685879230499268,0.8902264833450317
2,0.7868807315826416,0.5970246195793152,0.6829971075057983,0.7886965274810791
3,0.849155843257904,0.43148958683013916,0.6858789920806885,0.7792088389396667
4,0.874342679977417,0.345201700925827,0.6829971075057983,0.8099585175514221
5,0.9075560569763184,0.2767363488674164,0.6685879230499268,0.907761812210083
6,0.9205646514892578,0.23497743904590607,0.680115282535553,0.9575601816177368
7,0.9399390816688538,0.19266754388809204,0.680115282535553,1.0055509805679321
8,0.9487960338592529,0.16540436446666718,0.6685879230499268,1.133072853088379
9,0.9570993781089783,0.1433558613061905,0.6714697480201721,1.1142888069152832
10,0.9593135714530945,0.13172002136707306,0.6743515729904175,1.2126314640045166
11,0.9634652733802795,0.11839988082647324,0.6426513195037842,1.3175486326217651
12,0.9690008163452148,0.10502451658248901,0.6599423885345459,1.3493688106536865
13,0.9667866230010986,0.10134264081716537,0.6541786789894104,1.3973432779312134
14,0.9684472680091858,0.09693265706300735,0.6743515729904175,1.4003196954727173
15,0.9725989699363708,0.09065625071525574,0.6714697480201721,1.4002494812011719
16,0.9731525182723999,0.08409998565912247,0.6714697480201721,1.4669251441955566
17,0.974259614944458,0.08006422966718674,0.6657060384750366,1.5579249858856201
18,0.9759202599525452,0.08005867898464203,0.6657060384750366,1.535251259803772
19,0.9759202599525452,0.072574682533741,0.6570605039596558,1.5567222833633423
20,0.9759202599525452,0.06758927553892136,0.6541786789894104,1.7040271759033203
21,0.975643515586853,0.07649587839841843,0.6599423885345459,1.6474443674087524
22,0.9753667116165161,0.06603614240884781,0.651296854019165,1.6814537048339844
23,0.9759202599525452,0.06401677429676056,0.6570605039596558,1.6723721027374268
24,0.9773041605949402,0.06517800688743591,0.6541786789894104,1.7329041957855225
